Topic,Count,Name,Avg_Sentiment
123,19,123_shutdown_government shutdown_government_congress,-0.36
124,19,124_climate_climate change_change_science,-0.06
125,18,125_readers respond_issue readers_corrections_respond,0.02
126,18,126_claims_falsehoods_inaccurate_president,-0.39
127,18,127_canada_canada letter_letter_canada today,0.05
128,18,128_horse_racing_santa anita_horses,-0.3
129,17,129_softbank_wework_startup_companies,0.04
130,17,130_week good_isnt bad_heavy news_barrage heavy,0.51
131,17,131_marijuana_cannabis_pot_dispensaries,0.16
132,17,132_rohingya_myanmar_refugee_rohingya refugees,-0.64
133,17,133_warren_elizabeth_elizabeth warren_ms warren,0.09
134,16,134_ceos_councils_business leaders_advisory,-0.32
135,16,135_solar_power_solar power_solar panels,0.17
136,16,136_buttigieg_pete_pete buttigieg_mr buttigieg,0.1
137,16,137_powell_yellen_fed_jerome powell,0.14
138,16,138_pompeo_mike pompeo_mike_secretary state,-0.11
