Topic,Count,Name,Avg_Sentiment
121,49,121_food_produce food_farming practices_wasted rots,-0.42
122,49,122_keeps growing_keeps_potential just_just keeps,0.38
123,48,123_message way_way universal_usual washington_healthcare address,0.48
124,48,124_voters_vote_care_issue,-0.19
125,47,125_spicer_sean spicer_sean_answer,-0.38
126,47,126_vietnam_board_im board_world effects,-0.14
127,47,127_protesters_change protesters_london_people standing,-0.08
128,46,128_biofuels_exxonmobil growing_algae biofuels_biofuels day,0.67
129,45,129_len_leading donald_californians leading_trump senator,0.34
130,45,130_report_trump administration_administration_released,-0.49
131,45,131_xfinity_5g_samsung_tmobile,0.23
132,44,132_health care_care_wage_health,-0.22
133,43,133_weather_called_changes ways_used called,-0.13
134,43,134_soil_change improving_simplest way_carbon,-0.24
135,42,135_wetlands_wetlands world_world help_marshes,-0.24
136,40,136_peat_bog_peatland_conservation era,-0.07
137,40,137_cows_methane_cow_methane cows,-0.33
138,39,138_country_collective_musical_collective international,-0.26
139,39,139_satellite_ice_provide precise_precise information,0.06
140,38,140_helping dreamers_denial_deal helping_hes denial,-0.69
141,38,141_fashion_clothes_fast fashion_clothing,-0.5
142,37,142_antonio guterres_guterres_antonio_secretary general,0.07
143,37,143_mrs_drop opposition_opposition climate_trade,0.22
144,37,144_fracking_crisis expand_possible tackle_airports build,-0.45
145,37,145_mckee_lyra_lyra mckee_londonderry,-0.52
146,37,146_affected_communities_world impacted_impacts,-0.59
147,36,147_iand grew_grew toy_iand_toy,0.64
148,36,148_sami_traditional sami_sea ice_sea,-0.3
149,36,149_glasgow_glasgow science_science centre_glasgow hosting,0.41
150,36,150_coal_burning coal_burning_producing 40,-0.35
151,34,151_coal_poland_centre arguments_arguments global,-0.48
152,34,152_seat_peoples seat_peoples_want stop,-0.11
153,34,153_plants_vulnerable_alpine species_plants places,-0.56
154,34,154_fonda_jane fonda_jane_arrested,-0.36
155,33,155_defines wealthy_wealthy pay_pay taxes_faith dream,0.19
156,33,156_ipcc_outlines limit_text outlines_scientific text,-0.4
157,33,157_saudi_saudis_arabia_saudi arabia,-0.47
158,33,158_penguins_king penguins_penguin_king,-0.32
159,32,159_breakfast_stayt_charlie stayt_charlie,0.21
160,32,160_dioxide_carbon dioxide_pruitt_dioxide primary,-0.38
161,32,161_rebellion_extinction rebellion_extinction_rebellion demands,-0.33
162,31,162_huawei_relationship_iran chinese_special relationship,-0.18
163,31,163_plant_trees_trees year_conservatives,0.09
164,31,164_concrete_destroy forests_railway_change destroy,-0.56
165,31,165_protect_emissions_protect world_liability,-0.21
166,30,166_theresa_right characterised_characterised_change theresa,-0.28
167,30,167_agreement implement_poland_reached agreement_implement,-0.16
168,30,168_reporters new_times melting_reporters_york times,-0.24
169,30,169_colleges_tuition_college_student,-0.35
